,n_features,k_value,n_folds,avg_rmse,std_rmse
59,2.0,6.0,10.0,12.190305931848243,1.7247959826037824
60,2.0,7.0,10.0,12.049294231020848,1.6425546608167743
61,2.0,8.0,10.0,11.901827398174555,1.5380248830486485
62,2.0,9.0,10.0,11.7443901735329,1.3811827062051998
63,2.0,10.0,10.0,11.645819616507673,1.3506849571708295
64,2.0,11.0,10.0,11.600971200488054,1.369514985650079
65,2.0,12.0,10.0,11.567907623794913,1.3442592178908217
66,2.0,13.0,10.0,11.50778829499661,1.354132167573031
67,2.0,14.0,10.0,11.458481037841693,1.3343154541568938
68,2.0,15.0,10.0,11.406572511661576,1.3361477440416492
69,2.0,16.0,10.0,11.394971938727725,1.3383903734510938
70,2.0,17.0,10.0,11.373451694418858,1.340164277648946
71,2.0,18.0,10.0,11.357565250179434,1.3497282957506895
72,2.0,19.0,10.0,11.324581792982299,1.3593374062616108
73,2.0,20.0,10.0,11.3402012621843,1.3424786344284543
74,2.0,21.0,10.0,11.368323531027757,1.3205073941769891
75,2.0,22.0,10.0,11.38814198504062,1.2970942891880322
76,2.0,23.0,10.0,11.421221160707471,1.2806921238298874
77,2.0,24.0,10.0,11.417685517067067,1.265453777380251
78,2.0,25.0,10.0,11.41652906091428,1.3028185226427431
79,2.0,26.0,10.0,11.417574404040126,1.2993191045198622
80,2.0,27.0,10.0,11.443979747031886,1.29656103113431
81,2.0,28.0,10.0,11.45862386637874,1.3014138280058374
82,2.0,29.0,10.0,11.452163209217588,1.2733256566730111
83,2.0,30.0,10.0,11.479700354833001,1.2396231091872778
84,2.0,31.0,10.0,11.471604105478075,1.2268637783671845
85,2.0,32.0,10.0,11.462862616655027,1.2264683751891046
86,2.0,33.0,10.0,11.44224908792515,1.2528098385231936
87,2.0,34.0,10.0,11.432437565511515,1.2507860736204088
88,2.0,35.0,10.0,11.41969030800656,1.2543403942826845
89,2.0,36.0,10.0,11.419965623480614,1.2410588243948357
90,2.0,37.0,10.0,11.3950311546779,1.2554477996887021
91,2.0,38.0,10.0,11.380559861462206,1.2537484458596886
92,2.0,39.0,10.0,11.369813772016334,1.2669091493546538
93,2.0,40.0,10.0,11.368823818426556,1.2763524733642855
94,2.0,41.0,10.0,11.352511078419798,1.2860590575290467
95,2.0,42.0,10.0,11.351290864905925,1.2907648960754878
96,2.0,43.0,10.0,11.336735606272352,1.3059467471475024
97,2.0,44.0,10.0,11.322236024046607,1.3124067402758288
98,2.0,45.0,10.0,11.311914592606417,1.3118260978346425
99,2.0,46.0,10.0,11.30006314368742,1.316219679677568
100,2.0,47.0,10.0,11.288880643907694,1.323395095613822
101,2.0,48.0,10.0,11.286195582771814,1.323824914865531
102,2.0,49.0,10.0,11.276433764262546,1.3270708791245396
103,2.0,50.0,10.0,11.26728524912902,1.3335216346296939
104,2.0,51.0,10.0,11.261778583021163,1.3332921372075144
105,2.0,52.0,10.0,11.25634941258164,1.3386939180884945
106,2.0,53.0,10.0,11.24695719330791,1.3462222216867505
107,2.0,54.0,10.0,11.244189519073629,1.3478270069965779
108,3.0,1.0,10.0,15.19090376696378,5.853259228724849
109,3.0,2.0,10.0,15.907762733399684,5.577376494386139
110,3.0,3.0,10.0,14.014270957620704,3.3030223564635244
111,3.0,4.0,10.0,13.106356765216471,2.2339500036366546
112,3.0,5.0,10.0,12.643761597357233,1.7680984916257965
113,3.0,6.0,10.0,12.339755113127636,1.5078047118690185
114,3.0,7.0,10.0,12.10711332514818,1.4176224274452203
115,3.0,8.0,10.0,11.933688525382433,1.417115489058788
116,3.0,9.0,10.0,11.82255681925661,1.3473893076649128
117,3.0,10.0,10.0,11.770321797300085,1.3451425452407266
118,3.0,11.0,10.0,11.695899875641045,1.3634169959989582
119,3.0,12.0,10.0,11.615753882509892,1.3553149203693227
120,3.0,13.0,10.0,11.578762828955615,1.361027326555351
121,3.0,14.0,10.0,11.567329433036004,1.3448685355937167
122,3.0,15.0,10.0,11.546141551672754,1.3384286249609345
123,3.0,16.0,10.0,11.512075072580583,1.3462249263163173
