,features,k_value,n_folds,avg_rmse,std_rmse
28365,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",6.0,10.0,13.197723765137663,1.7674309514289044
28366,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",7.0,10.0,13.087155674794408,1.8066889117337512
28367,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",8.0,10.0,13.092061156512866,1.7654904459563068
28368,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",9.0,10.0,13.037728076026928,1.7574797110584748
28369,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",10.0,10.0,13.013916838287548,1.7735817804665024
28370,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",11.0,10.0,12.99298096145716,1.771070695009912
28371,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",12.0,10.0,12.985563322941712,1.7845957599759885
28372,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",13.0,10.0,12.96481967197885,1.7943852725234815
28373,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",14.0,10.0,12.957856400556784,1.8140751962531352
28374,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",15.0,10.0,12.954972002288415,1.81147414495171
28375,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",16.0,10.0,12.964623825764022,1.8054597579268266
28376,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",17.0,10.0,12.969482962193734,1.7934543768703584
28377,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",18.0,10.0,12.961142331090855,1.7905034270631617
28378,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",19.0,10.0,12.95069525431301,1.7863236083563592
28379,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'GenreScore', 'CategoryScore']",20.0,10.0,12.946670058881562,1.7845935195459819
28380,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",1.0,10.0,16.156711668961705,2.5841245893613722
28381,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",2.0,10.0,14.508694358233958,1.5441402308136802
28382,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",3.0,10.0,13.84867305208507,1.5953395935098587
28383,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",4.0,10.0,13.670056688375615,1.6336157690373656
28384,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",5.0,10.0,13.602112343900249,1.6558039325916882
28385,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",6.0,10.0,13.493567087878711,1.5980476970905584
28386,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",7.0,10.0,13.466532940235606,1.61618316536239
28387,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",8.0,10.0,13.37804894584534,1.6505461745550198
28388,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",9.0,10.0,13.309296851947275,1.6638941464668586
28389,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",10.0,10.0,13.273705238043558,1.6700305921740088
28390,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",11.0,10.0,13.249323395390453,1.6895222711372253
28391,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",12.0,10.0,13.244258719356907,1.6930279100880232
28392,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",13.0,10.0,13.207410818191715,1.7306982415332965
28393,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",14.0,10.0,13.19883977613907,1.7394671063179752
28394,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",15.0,10.0,13.180121761138576,1.7502172839338526
28395,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",16.0,10.0,13.167057828984635,1.7493858198033938
28396,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",17.0,10.0,13.147351212221357,1.7451342259467362
28397,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",18.0,10.0,13.138498421279033,1.7454339386995665
28398,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",19.0,10.0,13.138888244584086,1.7474440847820663
28399,"['DLCCount', 'MovieCount', 'SteamSpyOwners', 'PlatformScore', 'CategoryScore']",20.0,10.0,13.12405723887432,1.744520895876541
28400,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",1.0,10.0,18.042584458813238,2.623673814401074
28401,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",2.0,10.0,15.679556085034605,1.2560335881809446
28402,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",3.0,10.0,14.842024442213448,1.0590272080271625
28403,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",4.0,10.0,14.242855624180782,1.351887290733406
28404,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",5.0,10.0,13.908273501001947,1.510788541160767
28405,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",6.0,10.0,13.753405523799225,1.605681698495065
28406,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",7.0,10.0,13.663168296183624,1.6539273393036211
28407,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",8.0,10.0,13.506495420735215,1.6362000823600824
28408,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",9.0,10.0,13.462262417288704,1.7037693825922653
28409,"['DLCCount', 'MovieCount', 'SteamSpyPlayersEstimate', 'GenreScore', 'PlatformScore']",10.0,10.0,13.365501213256575,1.6977133289704691
